epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,8803.91,0.21354,0.2121,0.87877,0.99383,0.99059,0.99486,0.99384,0.10642,0.09738,0.76289,0.00033425,0.00033425,0.00033425
76,8921.08,0.21255,0.21773,0.88188,0.98291,0.98932,0.9941,0.98935,0.11232,0.12294,0.76974,0.000321875,0.000321875,0.000321875
77,9038.33,0.21579,0.22535,0.88314,0.98858,0.98971,0.99385,0.99149,0.11776,0.11565,0.77029,0.0003095,0.0003095,0.0003095
78,9156.69,0.21649,0.21934,0.88344,0.99483,0.99068,0.99496,0.99203,0.1082,0.10221,0.76673,0.000297125,0.000297125,0.000297125
79,9274.22,0.20893,0.20201,0.87853,0.99047,0.99905,0.99498,0.99371,0.10686,0.08758,0.76479,0.00028475,0.00028475,0.00028475
80,9392.43,0.2067,0.21172,0.87519,0.98706,0.96055,0.99477,0.99326,0.11023,0.11756,0.76782,0.000272375,0.000272375,0.000272375
81,9506.2,0.20977,0.20687,0.87968,0.99215,1,0.99494,0.99222,0.10766,0.09632,0.76794,0.00026,0.00026,0.00026
82,9623.89,0.20425,0.206,0.87847,0.98285,0.97936,0.9941,0.99281,0.10561,0.1207,0.76664,0.000247625,0.000247625,0.000247625
83,9743,0.20476,0.21106,0.87552,0.99648,0.99115,0.99494,0.99354,0.10466,0.09361,0.76297,0.00023525,0.00023525,0.00023525
84,9861.86,0.21026,0.2072,0.88243,0.99334,0.99952,0.99481,0.99236,0.10764,0.08758,0.76432,0.000222875,0.000222875,0.000222875
85,9981.17,0.2074,0.2046,0.88032,0.99275,1,0.99486,0.99384,0.10099,0.08832,0.76272,0.0002105,0.0002105,0.0002105
86,10099.1,0.20175,0.19971,0.87953,0.99366,0.99888,0.99461,0.99287,0.10592,0.09789,0.7662,0.000198125,0.000198125,0.000198125
87,10214.2,0.20373,0.20147,0.87979,0.99627,1,0.99479,0.99325,0.1045,0.08508,0.76497,0.00018575,0.00018575,0.00018575
88,10333.1,0.20156,0.19536,0.87727,0.99456,1,0.99432,0.99289,0.1034,0.09345,0.76316,0.000173375,0.000173375,0.000173375
